lat,long,tot_hh,tot_illt,tot_lit,tot_pop,tot_sc,tot_st,tot_w,w_hh_income_10l_above_perc,w_hh_income_5l_above_perc,w_hh_income_20l_above_perc,w_pop_tt,pop_age_0_18_perc,pop_age_18_60_perc,pop_age_60_above_perc,pop_ratio_fm,avail_assets_comp_intnt_perc,avail_assets_comp_no_intnt_perc,avail_assets_tele_mob_mob_only_perc,avail_assets_tv_perc,f_illt_perc,f_l6_perc,f_lit_perc,f_pop_perc,f_sc_perc,f_st_perc,f_w_perc,hh_sz_1_perc,hh_sz_2_perc,hh_sz_3_perc,hh_sz_4_perc,hh_sz_5_perc,hh_sz_6_8_perc,hh_sz_9_plus_perc,m_illt_perc,m_lit_perc,m_pop_perc,m_sc_perc,m_st_perc,m_w_perc,mrd_cpl_1_perc,mrd_cpl_2_perc,mrd_cpl_3_perc,mrd_cpl_4_perc,mrd_cpl_5_plus_perc,mrd_cpl_none_perc,tot_illt_perc,tot_lit_perc,tot_sc_perc,tot_st_perc,tot_w_perc
18.90807208909181,72.80420842143545,208.0,181.0,729.0,911.0,100.0,11.0,346.0,0.0,0.0,0.0,1560.0,0.0,0.0,0.0,,8.173,10.096,63.462,74.519,11.087,4.501,36.883,47.859,5.379,0.549,7.794,3.846,10.577,22.115,26.923,16.346,16.827,4.327,8.891,43.249,52.031,5.598,0.659,30.077,70.673,12.019,2.404,0.481,0.0,13.942,19.868,80.022,10.977,1.207,37.98
18.90807208909181,72.80800663527516,693.0,604.0,2430.0,3035.0,335.0,36.0,1151.0,95.9,99.26,88.19,2853.0,25.04,65.92,8.54,,8.369,10.245,63.203,74.747,11.038,4.448,36.87,47.908,5.404,0.593,7.842,3.896,10.39,21.934,26.696,16.162,16.595,4.185,8.863,43.229,52.092,5.634,0.626,30.115,70.563,12.121,2.453,0.433,0.144,14.141,19.901,80.066,11.038,1.186,37.924
18.90807208909181,72.81180484911488,625.0,545.0,2191.0,2736.0,302.0,33.0,1038.0,96.11,99.53,88.18,2572.0,25.04,65.92,8.54,,8.32,10.24,63.2,74.72,11.038,4.459,36.879,47.917,5.409,0.585,7.822,4.0,10.4,21.92,26.72,16.16,16.64,4.16,8.882,43.238,52.083,5.629,0.621,30.117,70.56,12.16,2.56,0.48,0.16,14.24,19.92,80.08,11.038,1.206,37.939
18.90807208909181,72.8156030629546,510.0,445.0,1789.0,2234.0,246.0,27.0,848.0,96.0,99.24,87.43,2100.0,25.04,65.92,8.54,,8.431,10.196,63.333,74.706,11.056,4.476,36.885,47.896,5.416,0.582,7.833,3.922,10.392,21.961,26.667,16.275,16.667,4.118,8.863,43.196,52.104,5.64,0.627,30.125,70.588,12.157,2.549,0.392,0.196,14.118,19.919,80.081,11.012,1.209,37.959
18.90807208909181,72.81940127679431,200.0,175.0,703.0,878.0,97.0,11.0,333.0,95.73,99.37,87.89,1429.0,25.04,65.92,8.54,,8.5,10.5,63.5,75.0,11.048,4.442,36.902,47.836,5.353,0.569,7.859,4.0,10.5,22.0,27.0,16.0,16.5,4.0,8.884,43.166,52.05,5.581,0.569,30.068,71.0,12.0,2.5,0.5,0.0,14.0,19.932,80.068,11.048,1.253,37.927
18.911665350228287,72.80800802250113,462.0,403.0,1620.0,2023.0,223.0,24.0,767.0,66.95,69.25,61.3,1912.0,25.04,65.92,8.54,,8.442,10.173,63.203,74.675,11.023,4.449,36.876,47.899,5.388,0.593,7.81,3.896,10.39,22.078,26.84,16.234,16.667,4.113,8.848,43.203,52.101,5.635,0.593,30.104,70.563,12.121,2.597,0.433,0.216,14.069,19.921,80.079,11.023,1.186,37.914
18.911665350228287,72.81180631794237,199.0,174.0,699.0,872.0,96.0,10.0,331.0,95.72,99.76,87.65,1684.0,25.04,65.92,8.54,,8.543,10.05,63.317,74.874,11.009,4.472,36.927,47.936,5.39,0.573,7.798,4.02,10.553,22.111,26.633,16.08,16.583,4.02,8.83,43.234,52.064,5.619,0.573,30.161,70.854,12.06,2.513,0.503,0.0,14.07,19.954,80.161,11.009,1.147,37.959
18.911665350228287,72.81560461338361,411.0,358.0,1441.0,1799.0,199.0,22.0,683.0,95.67,99.84,88.17,1919.0,25.04,65.92,8.54,,8.273,10.219,63.26,74.696,11.062,4.447,36.854,47.916,5.392,0.611,7.838,3.893,10.462,21.898,26.764,16.302,16.545,4.136,8.894,43.246,52.084,5.614,0.611,30.128,70.56,12.165,2.433,0.487,0.0,14.112,19.9,80.1,11.062,1.223,37.966
18.911665350228287,72.81940290882486,700.0,610.0,2454.0,3064.0,338.0,37.0,1163.0,95.83,99.58,88.06,2880.0,25.04,65.92,8.54,,8.429,10.286,63.286,74.714,11.031,4.471,36.88,47.911,5.418,0.587,7.833,4.0,10.286,22.0,26.714,16.143,16.571,4.143,8.877,43.211,52.089,5.614,0.62,30.124,70.571,12.143,2.571,0.429,0.143,14.143,19.909,80.091,11.031,1.208,37.957
18.911665350228287,72.8232012042661,702.0,612.0,2462.0,3075.0,339.0,37.0,1167.0,95.89,99.84,87.75,3045.0,25.04,65.92,8.54,,8.405,10.256,63.248,74.644,11.024,4.455,36.878,47.902,5.398,0.585,7.837,3.989,10.399,21.937,26.781,16.239,16.667,4.131,8.878,43.22,52.098,5.626,0.618,30.114,70.655,12.251,2.564,0.427,0.142,14.245,19.902,80.065,11.024,1.203,37.951
